|TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|CONSTRAINT_SCHEMA|CONSTRAINT_NAME
0|dbo|AWBuildVersion|SystemInformationID|dbo|PK_AWBuildVersion_SystemInformationID
1|dbo|DatabaseLog|DatabaseLogID|dbo|PK_DatabaseLog_DatabaseLogID
2|dbo|ErrorLog|ErrorLogID|dbo|PK_ErrorLog_ErrorLogID
3|HumanResources|Employee|BusinessEntityID|HumanResources|FK_Employee_Person_BusinessEntityID
4|HumanResources|EmployeeDepartmentHistory|DepartmentID|HumanResources|FK_EmployeeDepartmentHistory_Department_DepartmentID
5|HumanResources|EmployeeDepartmentHistory|BusinessEntityID|HumanResources|FK_EmployeeDepartmentHistory_Employee_BusinessEntityID
6|HumanResources|EmployeeDepartmentHistory|ShiftID|HumanResources|FK_EmployeeDepartmentHistory_Shift_ShiftID
7|HumanResources|EmployeePayHistory|BusinessEntityID|HumanResources|FK_EmployeePayHistory_Employee_BusinessEntityID
8|HumanResources|JobCandidate|BusinessEntityID|HumanResources|FK_JobCandidate_Employee_BusinessEntityID
9|HumanResources|Department|DepartmentID|HumanResources|PK_Department_DepartmentID
10|HumanResources|Employee|BusinessEntityID|HumanResources|PK_Employee_BusinessEntityID
11|HumanResources|EmployeeDepartmentHistory|BusinessEntityID|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID
12|HumanResources|EmployeeDepartmentHistory|DepartmentID|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID
13|HumanResources|EmployeeDepartmentHistory|ShiftID|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID
14|HumanResources|EmployeeDepartmentHistory|StartDate|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID
15|HumanResources|EmployeePayHistory|BusinessEntityID|HumanResources|PK_EmployeePayHistory_BusinessEntityID_RateChangeDate
16|HumanResources|EmployeePayHistory|RateChangeDate|HumanResources|PK_EmployeePayHistory_BusinessEntityID_RateChangeDate
17|HumanResources|JobCandidate|JobCandidateID|HumanResources|PK_JobCandidate_JobCandidateID
18|HumanResources|Shift|ShiftID|HumanResources|PK_Shift_ShiftID
19|Person|Address|StateProvinceID|Person|FK_Address_StateProvince_StateProvinceID
20|Person|BusinessEntityAddress|AddressID|Person|FK_BusinessEntityAddress_Address_AddressID
21|Person|BusinessEntityAddress|AddressTypeID|Person|FK_BusinessEntityAddress_AddressType_AddressTypeID
22|Person|BusinessEntityAddress|BusinessEntityID|Person|FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID
23|Person|BusinessEntityContact|BusinessEntityID|Person|FK_BusinessEntityContact_BusinessEntity_BusinessEntityID
24|Person|BusinessEntityContact|ContactTypeID|Person|FK_BusinessEntityContact_ContactType_ContactTypeID
25|Person|BusinessEntityContact|PersonID|Person|FK_BusinessEntityContact_Person_PersonID
26|Person|EmailAddress|BusinessEntityID|Person|FK_EmailAddress_Person_BusinessEntityID
27|Person|Password|BusinessEntityID|Person|FK_Password_Person_BusinessEntityID
28|Person|Person|BusinessEntityID|Person|FK_Person_BusinessEntity_BusinessEntityID
29|Person|PersonPhone|BusinessEntityID|Person|FK_PersonPhone_Person_BusinessEntityID
30|Person|PersonPhone|PhoneNumberTypeID|Person|FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID
31|Person|StateProvince|CountryRegionCode|Person|FK_StateProvince_CountryRegion_CountryRegionCode
32|Person|StateProvince|TerritoryID|Person|FK_StateProvince_SalesTerritory_TerritoryID
33|Person|Address|AddressID|Person|PK_Address_AddressID
34|Person|AddressType|AddressTypeID|Person|PK_AddressType_AddressTypeID
35|Person|BusinessEntity|BusinessEntityID|Person|PK_BusinessEntity_BusinessEntityID
36|Person|BusinessEntityAddress|AddressID|Person|PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID
37|Person|BusinessEntityAddress|AddressTypeID|Person|PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID
38|Person|BusinessEntityAddress|BusinessEntityID|Person|PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID
39|Person|BusinessEntityContact|BusinessEntityID|Person|PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID
40|Person|BusinessEntityContact|ContactTypeID|Person|PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID
41|Person|BusinessEntityContact|PersonID|Person|PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID
42|Person|ContactType|ContactTypeID|Person|PK_ContactType_ContactTypeID
43|Person|CountryRegion|CountryRegionCode|Person|PK_CountryRegion_CountryRegionCode
44|Person|EmailAddress|BusinessEntityID|Person|PK_EmailAddress_BusinessEntityID_EmailAddressID
45|Person|EmailAddress|EmailAddressID|Person|PK_EmailAddress_BusinessEntityID_EmailAddressID
46|Person|Password|BusinessEntityID|Person|PK_Password_BusinessEntityID
47|Person|Person|BusinessEntityID|Person|PK_Person_BusinessEntityID
48|Person|PersonPhone|BusinessEntityID|Person|PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID
49|Person|PersonPhone|PhoneNumber|Person|PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID
50|Person|PersonPhone|PhoneNumberTypeID|Person|PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID
51|Person|PhoneNumberType|PhoneNumberTypeID|Person|PK_PhoneNumberType_PhoneNumberTypeID
52|Person|StateProvince|StateProvinceID|Person|PK_StateProvince_StateProvinceID
53|Production|BillOfMaterials|ComponentID|Production|FK_BillOfMaterials_Product_ComponentID
54|Production|BillOfMaterials|ProductAssemblyID|Production|FK_BillOfMaterials_Product_ProductAssemblyID
55|Production|BillOfMaterials|UnitMeasureCode|Production|FK_BillOfMaterials_UnitMeasure_UnitMeasureCode
56|Production|Document|Owner|Production|FK_Document_Employee_Owner
57|Production|Product|ProductModelID|Production|FK_Product_ProductModel_ProductModelID
58|Production|Product|ProductSubcategoryID|Production|FK_Product_ProductSubcategory_ProductSubcategoryID
59|Production|Product|SizeUnitMeasureCode|Production|FK_Product_UnitMeasure_SizeUnitMeasureCode
60|Production|Product|WeightUnitMeasureCode|Production|FK_Product_UnitMeasure_WeightUnitMeasureCode
61|Production|ProductCostHistory|ProductID|Production|FK_ProductCostHistory_Product_ProductID
62|Production|ProductDocument|DocumentNode|Production|FK_ProductDocument_Document_DocumentNode
63|Production|ProductDocument|ProductID|Production|FK_ProductDocument_Product_ProductID
64|Production|ProductInventory|LocationID|Production|FK_ProductInventory_Location_LocationID
65|Production|ProductInventory|ProductID|Production|FK_ProductInventory_Product_ProductID
66|Production|ProductListPriceHistory|ProductID|Production|FK_ProductListPriceHistory_Product_ProductID
67|Production|ProductModelIllustration|IllustrationID|Production|FK_ProductModelIllustration_Illustration_IllustrationID
68|Production|ProductModelIllustration|ProductModelID|Production|FK_ProductModelIllustration_ProductModel_ProductModelID
69|Production|ProductModelProductDescriptionCulture|CultureID|Production|FK_ProductModelProductDescriptionCulture_Culture_CultureID
70|Production|ProductModelProductDescriptionCulture|ProductDescriptionID|Production|FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID
71|Production|ProductModelProductDescriptionCulture|ProductModelID|Production|FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID
72|Production|ProductProductPhoto|ProductID|Production|FK_ProductProductPhoto_Product_ProductID
73|Production|ProductProductPhoto|ProductPhotoID|Production|FK_ProductProductPhoto_ProductPhoto_ProductPhotoID
74|Production|ProductReview|ProductID|Production|FK_ProductReview_Product_ProductID
75|Production|ProductSubcategory|ProductCategoryID|Production|FK_ProductSubcategory_ProductCategory_ProductCategoryID
76|Production|TransactionHistory|ProductID|Production|FK_TransactionHistory_Product_ProductID
77|Production|WorkOrder|ProductID|Production|FK_WorkOrder_Product_ProductID
78|Production|WorkOrder|ScrapReasonID|Production|FK_WorkOrder_ScrapReason_ScrapReasonID
79|Production|WorkOrderRouting|LocationID|Production|FK_WorkOrderRouting_Location_LocationID
80|Production|WorkOrderRouting|WorkOrderID|Production|FK_WorkOrderRouting_WorkOrder_WorkOrderID
81|Production|BillOfMaterials|BillOfMaterialsID|Production|PK_BillOfMaterials_BillOfMaterialsID
82|Production|Culture|CultureID|Production|PK_Culture_CultureID
83|Production|Document|DocumentNode|Production|PK_Document_DocumentNode
84|Production|Illustration|IllustrationID|Production|PK_Illustration_IllustrationID
85|Production|Location|LocationID|Production|PK_Location_LocationID
86|Production|Product|ProductID|Production|PK_Product_ProductID
87|Production|ProductCategory|ProductCategoryID|Production|PK_ProductCategory_ProductCategoryID
88|Production|ProductCostHistory|ProductID|Production|PK_ProductCostHistory_ProductID_StartDate
89|Production|ProductCostHistory|StartDate|Production|PK_ProductCostHistory_ProductID_StartDate
90|Production|ProductDescription|ProductDescriptionID|Production|PK_ProductDescription_ProductDescriptionID
91|Production|ProductDocument|DocumentNode|Production|PK_ProductDocument_ProductID_DocumentNode
92|Production|ProductDocument|ProductID|Production|PK_ProductDocument_ProductID_DocumentNode
93|Production|ProductInventory|LocationID|Production|PK_ProductInventory_ProductID_LocationID
94|Production|ProductInventory|ProductID|Production|PK_ProductInventory_ProductID_LocationID
95|Production|ProductListPriceHistory|ProductID|Production|PK_ProductListPriceHistory_ProductID_StartDate
96|Production|ProductListPriceHistory|StartDate|Production|PK_ProductListPriceHistory_ProductID_StartDate
97|Production|ProductModel|ProductModelID|Production|PK_ProductModel_ProductModelID
98|Production|ProductModelIllustration|IllustrationID|Production|PK_ProductModelIllustration_ProductModelID_IllustrationID
99|Production|ProductModelIllustration|ProductModelID|Production|PK_ProductModelIllustration_ProductModelID_IllustrationID
100|Production|ProductModelProductDescriptionCulture|CultureID|Production|PK_ProductModelProductDescriptionCulture_ProductModelID_ProductDescriptionID_CultureID
101|Production|ProductModelProductDescriptionCulture|ProductDescriptionID|Production|PK_ProductModelProductDescriptionCulture_ProductModelID_ProductDescriptionID_CultureID
102|Production|ProductModelProductDescriptionCulture|ProductModelID|Production|PK_ProductModelProductDescriptionCulture_ProductModelID_ProductDescriptionID_CultureID
103|Production|ProductPhoto|ProductPhotoID|Production|PK_ProductPhoto_ProductPhotoID
104|Production|ProductProductPhoto|ProductID|Production|PK_ProductProductPhoto_ProductID_ProductPhotoID
105|Production|ProductProductPhoto|ProductPhotoID|Production|PK_ProductProductPhoto_ProductID_ProductPhotoID
106|Production|ProductReview|ProductReviewID|Production|PK_ProductReview_ProductReviewID
107|Production|ProductSubcategory|ProductSubcategoryID|Production|PK_ProductSubcategory_ProductSubcategoryID
108|Production|ScrapReason|ScrapReasonID|Production|PK_ScrapReason_ScrapReasonID
109|Production|TransactionHistory|TransactionID|Production|PK_TransactionHistory_TransactionID
110|Production|TransactionHistoryArchive|TransactionID|Production|PK_TransactionHistoryArchive_TransactionID
111|Production|UnitMeasure|UnitMeasureCode|Production|PK_UnitMeasure_UnitMeasureCode
112|Production|WorkOrder|WorkOrderID|Production|PK_WorkOrder_WorkOrderID
113|Production|WorkOrderRouting|OperationSequence|Production|PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence
114|Production|WorkOrderRouting|ProductID|Production|PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence
115|Production|WorkOrderRouting|WorkOrderID|Production|PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence
116|Production|Document|rowguid|Production|UQ__Document__F73921F7C5112C2E
117|Purchasing|ProductVendor|ProductID|Purchasing|FK_ProductVendor_Product_ProductID
118|Purchasing|ProductVendor|UnitMeasureCode|Purchasing|FK_ProductVendor_UnitMeasure_UnitMeasureCode
119|Purchasing|ProductVendor|BusinessEntityID|Purchasing|FK_ProductVendor_Vendor_BusinessEntityID
120|Purchasing|PurchaseOrderDetail|ProductID|Purchasing|FK_PurchaseOrderDetail_Product_ProductID
121|Purchasing|PurchaseOrderDetail|PurchaseOrderID|Purchasing|FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID
122|Purchasing|PurchaseOrderHeader|EmployeeID|Purchasing|FK_PurchaseOrderHeader_Employee_EmployeeID
123|Purchasing|PurchaseOrderHeader|ShipMethodID|Purchasing|FK_PurchaseOrderHeader_ShipMethod_ShipMethodID
124|Purchasing|PurchaseOrderHeader|VendorID|Purchasing|FK_PurchaseOrderHeader_Vendor_VendorID
125|Purchasing|Vendor|BusinessEntityID|Purchasing|FK_Vendor_BusinessEntity_BusinessEntityID
126|Purchasing|ProductVendor|BusinessEntityID|Purchasing|PK_ProductVendor_ProductID_BusinessEntityID
127|Purchasing|ProductVendor|ProductID|Purchasing|PK_ProductVendor_ProductID_BusinessEntityID
128|Purchasing|PurchaseOrderDetail|PurchaseOrderDetailID|Purchasing|PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID
129|Purchasing|PurchaseOrderDetail|PurchaseOrderID|Purchasing|PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID
130|Purchasing|PurchaseOrderHeader|PurchaseOrderID|Purchasing|PK_PurchaseOrderHeader_PurchaseOrderID
131|Purchasing|ShipMethod|ShipMethodID|Purchasing|PK_ShipMethod_ShipMethodID
132|Purchasing|Vendor|BusinessEntityID|Purchasing|PK_Vendor_BusinessEntityID
133|Sales|CountryRegionCurrency|CountryRegionCode|Sales|FK_CountryRegionCurrency_CountryRegion_CountryRegionCode
134|Sales|CountryRegionCurrency|CurrencyCode|Sales|FK_CountryRegionCurrency_Currency_CurrencyCode
